"ST4-4.0.4.jar","4.0.4",,"BSD License","http://antlr.org/license.html"
"activation-1.1.jar","1.1",,"Common Development And Distribution License (CCDL)","http://opensource.org/licenses/CDDL-1.0"
"ant-1.9.1.jar","1.9.1",,"Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"ant-launcher-1.9.1.jar","1.9.1",,"Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"antlr-2.7.7.jar","2.7.7",,"ANTLR 3 License (BSD License)","http://www.antlr2.org/license.html"
"antlr-runtime-3.4.jar","3.4",,"ANTLR 3 License (BSD License)","http://www.antlr3.org/license.html"
"aopalliance-1.0.jar","1.0",,"Public Domain","http://aopalliance.sourceforge.net/"
"asm","",,"BSD License","http://opensource.org/licenses/BSD-3-Clause"
"asm-all-4.0.jar","4.0",,"BSD License","http://opensource.org/licenses/BSD-3-Clause"
"asm-commons","",,"BSD License","http://opensource.org/licenses/BSD-3-Clause"
"asm-tree","",,"BSD License","http://opensource.org/licenses/BSD-3-Clause"
"async-http-client-1.7.18.jar","1.7.18",,"Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"async-http-servlet-3.0-3.0.8.Final.jar","3.0","3.0.8.Final","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"avro-1.6.3.jar","1.6.3",,"Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"avro-ipc-1.6.3.jar","1.6.3",,"Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"avro-mapred-1.6.2.jar","1.6.2",,"Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"bonecp-0.8.0.RELEASE.jar","0.8.0","RELEASE","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"c3p0-0.9.1.1.jar","0.9.1.1",,"EPL, LGPLv2",
"commons-beanutils-1.8.3.jar","1.8.3",,"Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-beanutils-core-1.8.3.jar","1.8.3",,"Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-cli-1.2.jar","1.2",,"Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
