# Bower Dependencies
# dependency,version,type,license,license_url,homepage,license_page
"com.continuuity.tephra.tephra-hbase-compat-0.94-0.2.1.jar","0.94","0.2.1","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.continuuity.tephra.tephra-hbase-compat-0.96-0.2.1.jar","0.96","0.2.1","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.esotericsoftware.kryo.kryo-2.21.jar","2.21","","New BSD License","http://www.opensource.org/licenses/bsd-license.php"
"com.esotericsoftware.minlog.minlog-1.2.jar","1.2","","New BSD License","http://www.opensource.org/licenses/bsd-license.php"
"com.esotericsoftware.reflectasm.reflectasm-1.07-shaded.jar","1.07","shaded","New BSD License","http://www.opensource.org/licenses/bsd-license.php"
"com.fasterxml.jackson.core.jackson-annotations-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.fasterxml.jackson.core.jackson-annotations-2.4.0.jar","2.4.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.fasterxml.jackson.core.jackson-core-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.fasterxml.jackson.core.jackson-core-2.3.1.jar","2.3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.fasterxml.jackson.core.jackson-core-2.4.4.jar","2.4.4","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.fasterxml.jackson.core.jackson-databind-2.3.0.jar","2.3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.fasterxml.jackson.core.jackson-databind-2.3.1.jar","2.3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.fasterxml.jackson.core.jackson-databind-2.4.4.jar","2.4.4","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.fasterxml.jackson.module.jackson-module-scala_2.10-2.4.4.jar","2.4.4","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.github.fommil.netlib.core-1.1.2.jar","1.1.2","","BSD License","https://github.com/fommil/netlib-java/blob/master/LICENSE.txt"
"com.github.rwl.jtransforms-2.4.0.jar","2.4.0","","Mozilla Public License","https://www.mozilla.org/MPL/2.0/index.txt"
"com.github.stephenc.findbugs.findbugs-annotations-1.3.9-1.jar","1.3.9","1","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.github.stephenc.high-scale-lib.high-scale-lib-1.1.1.jar","1.1.1","","Public Domain",""
"com.github.tony19.named-regexp-0.2.3.jar","0.2.3","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.google.code.findbugs.jsr305-2.0.1.jar","2.0.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.google.code.gson.gson-2.2.4.jar","2.2.4","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.google.guava.guava-13.0.1.jar","13.0.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.google.inject.extensions.guice-assistedinject-3.0.jar","3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.google.inject.extensions.guice-multibindings-3.0.jar","3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.google.inject.extensions.guice-servlet-3.0.jar","3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.google.inject.guice-3.0.jar","3.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.google.protobuf.protobuf-java-2.5.0.jar","2.5.0","","BSD 2","http://opensource.org/licenses/bsd-license.php"
"com.googlecode.concurrent-trees.concurrent-trees-2.4.0.jar","2.4.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.jamesmurty.utils.java-xmlbuilder-0.4.jar","0.4","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.jcraft.jsch-0.1.42.jar","0.1.42","","BSD style","http://www.jcraft.com/jsch/LICENSE.txt"
"com.jolbox.bonecp-0.8.0.RELEASE.jar","0.8.0","RELEASE","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.ning.async-http-client-1.7.18.jar","1.7.18","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.ning.compress-lzf-1.0.0.jar","1.0.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.sun.jersey.contribs.jersey-guice-1.9.jar","1.9","","Common Development and Distribution License(CDDL)","http://glassfish.java.net/public/CDDL+GPL_1_1.html"
"com.sun.jersey.jersey-client-1.9.jar","1.9","","Common Development and Distribution License(CDDL)","http://glassfish.java.net/public/CDDL+GPL_1_1.html"
"com.sun.jersey.jersey-core-1.9.jar","1.9","","Common Development and Distribution License(CDDL)","http://glassfish.java.net/public/CDDL+GPL_1_1.html"
"com.sun.jersey.jersey-json-1.9.jar","1.9","","Common Development and Distribution License(CDDL)","http://glassfish.java.net/public/CDDL+GPL_1_1.html"
"com.sun.jersey.jersey-server-1.9.jar","1.9","","Common Development and Distribution License(CDDL)","http://glassfish.java.net/public/CDDL+GPL_1_1.html"
"com.sun.jersey.jersey-servlet-1.18.jar","1.18","","Common Development and Distribution License(CDDL)","http://glassfish.java.net/public/CDDL+GPL_1_1.html"
"com.sun.xml.bind.jaxb-impl-2.2.3-1.jar","2.2.3","1","Best of CDDL 1.1 and GPL 2.0",""
"com.thoughtworks.paranamer.paranamer-2.3.jar","2.3","","Public Domain (but BSD because of ASM)",""
"com.thoughtworks.paranamer.paranamer-2.6.jar","2.6","","Public Domain (but BSD because of ASM)",""
"com.twitter.chill-java-0.3.6.jar","0.3.6","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.chill-java-0.5.0.jar","0.5.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.chill_2.10-0.3.6.jar","0.3.6","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.chill_2.10-0.5.0.jar","0.5.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.parquet-column-1.6.0rc3.jar","1.6.0","rc3","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.parquet-common-1.6.0rc3.jar","1.6.0","rc3","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.parquet-encoding-1.6.0rc3.jar","1.6.0","rc3","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.parquet-format-2.2.0-rc1.jar","2.2.0","rc1","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.parquet-generator-1.6.0rc3.jar","1.6.0","rc3","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.parquet-hadoop-1.6.0rc3.jar","1.6.0","rc3","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.parquet-hadoop-bundle-1.6.0rc3.jar","1.6.0","rc3","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.twitter.parquet-jackson-1.6.0rc3.jar","1.6.0","rc3","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.typesafe.config-1.0.2.jar","1.0.2","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.typesafe.config-1.2.1.jar","1.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.yammer.metrics.metrics-annotation-2.2.0.jar","2.2.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.yammer.metrics.metrics-core-2.1.2.jar","2.1.2","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"com.yammer.metrics.metrics-core-2.2.0.jar","2.2.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-beanutils.commons-beanutils-1.7.0.jar","1.7.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-beanutils.commons-beanutils-core-1.8.3.jar","1.8.3","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-cli.commons-cli-1.2.jar","1.2","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-codec.commons-codec-1.6.jar","1.6","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-collections.commons-collections-3.2.1.jar","3.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-configuration.commons-configuration-1.6.jar","1.6","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-daemon.commons-daemon-1.0.13.jar","1.0.13","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-dbcp.commons-dbcp-1.4.jar","1.4","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-digester.commons-digester-1.8.jar","1.8","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-el.commons-el-1.0.jar","1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-httpclient.commons-httpclient-3.1.jar","3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-io.commons-io-2.1.jar","2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-io.commons-io-2.4.jar","2.4","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-lang.commons-lang-2.5.jar","2.5","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-lang.commons-lang-2.6.jar","2.6","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-logging.commons-logging-1.1.1.jar","1.1.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-net.commons-net-2.2.jar","2.2","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-net.commons-net-3.1.jar","3.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"commons-pool.commons-pool-1.5.4.jar","1.5.4","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"concurrent.concurrent-1.3.4.jar","1.3.4","","Public Domain",""
"core-plugins-1.2.1.jar","1.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"core-plugins-1.3.0-SNAPSHOT.jar","1.3.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"database-plugins-1.2.1.jar","1.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"database-plugins-1.3.0-SNAPSHOT.jar","1.3.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"eigenbase.eigenbase-properties-1.1.4.jar","1.1.4","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"elasticsearch-plugins-1.2.1.jar","1.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"elasticsearch-plugins-1.3.0-SNAPSHOT.jar","1.3.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"etlBatch","","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"etlRealtime","","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"hadoop.dll","","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"hbase-plugins-1.2.1.jar","1.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"hbase-plugins-1.3.0-SNAPSHOT.jar","1.3.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"hdfs-plugins-1.2.1.jar","1.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"hdfs-plugins-1.3.0-SNAPSHOT.jar","1.3.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"hive-plugins-1.2.1.jar","1.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"hive-plugins-1.3.0-SNAPSHOT.jar","1.3.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"http-plugins-1.3.0-SNAPSHOT.jar","1.3.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"hydrator-common-1.2.1.jar","1.2.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"hydrator-common-1.3.0-SNAPSHOT.jar","1.3.0","SNAPSHOT","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"io.dropwizard.metrics.metrics-core-3.1.0.jar","3.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"io.dropwizard.metrics.metrics-graphite-3.1.0.jar","3.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"io.dropwizard.metrics.metrics-json-3.1.0.jar","3.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"io.dropwizard.metrics.metrics-jvm-3.1.0.jar","3.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"io.netty.netty-3.6.6.Final.jar","3.6.6","Final","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"io.netty.netty-all-4.0.17.Final.jar","4.0.17","Final","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"io.netty.netty-all-4.0.23.Final.jar","4.0.23","Final","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"io.thekraken.grok-0.1.0.jar","0.1.0","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"it.unimi.dsi.fastutil-6.5.6.jar","6.5.6","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"it.unimi.dsi.fastutil-6.6.1.jar","6.6.1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
"javax.activation.activation-1.1.jar","1.1","","Common Development And Distribution License (CDDL)","http://opensource.org/licenses/CDDL-1.0"
"javax.annotation.javax.annotation-api-1.2.jar","1.2","","CDDL + GPLv2 with classpath exception","https://glassfish.dev.java.net/nonav/public/CDDL+GPL.html"
"javax.annotation.jsr250-api-1.0.jar","1.0","","CDDL 1.0","https://glassfish.java.net/public/CDDLv1.0.html"
"javax.inject.javax.inject-1.jar","1","","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html"
